prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of Germany is, Berlin,19846,0.699219, Berlin| __| ____| a|____,0.699219|0.050781|0.030762|0.021118|0.012817,5,The| capital| of| Germany| is,785|6722|315|9856|374,55050.24
1,Die Hauptstadt von Deutschland ist, Berlin,19846,0.867188, Berlin| ____| __| ______|____,0.867188|0.018066|0.015869|0.009644|0.008484,6,Die| Haupt|stadt| von| Deutschland| ist,18175|89931|44278|6538|44979|5999,35604.66
2,La capitale de l'Allemagne est, Berlin,19846,0.894531, Berlin| __| ____|...| Ber,0.894531|0.013550|0.006409|0.005646|0.004150,10,La| capit|ale| de| l|'|Al|lem|agne| est,8747|60410|1574|409|326|6|2101|3433|23870|1788,33184.65
3,La capital de Alemania es, Ber,8907,0.667969, Ber| Berlin| __| ____| una,0.667969|0.070312|0.045410|0.017822|0.011475,6,La| capital| de| Ale|mania| es,8747|6722|409|19081|51568|1531,30075.09
4,La capitale della Germania è, Ber,8907,0.671875," Ber| Monaco| Berlin| __|?
",0.671875|0.070801|0.033447|0.027710|0.021606,7,La| capit|ale| della| German|ia| è,8747|60410|1574|15230|5938|685|11422,29724.25
5,A capital da Alemanha é, Ber,8907,0.570312, Ber| Berlin| __| uma|...,0.570312|0.112305|0.038818|0.030151|0.015198,7,A| capital| da| Ale|man|ha| é,32|6722|2994|19081|1515|4223|3958,29574.92
6,Столица Германии —, Б,63471,0.535156, Б| это| Berlin| один| как,0.535156|0.208984|0.098633|0.009766|0.006317,9,Ст|ол|и|ца| Г|ер|м|ании| —,73498|7819|1802|86894|60465|7599|6442|134348|1959,30148.76
7,ドイツの首都は,ベル,127450,0.523438,ベル|？|どこ|、|____,0.523438|0.075684|0.062500|0.045898|0.026123,4,ドイツ|の|首都|は,142765|15767|106114|15322,27218.08
8,德国的首都是,柏林,114121,0.400391,柏林|哪个|哪里|____|哪,0.400391|0.189453|0.138672|0.065430|0.027222,4,德国|的|首|都是,104114|9370|59975|100132,28893.07
9,독일의 수도는, 어디,139740,0.316406, 어디|?| �|柏林|哪里,0.316406|0.102539|0.096680|0.084961|0.066406,5,독|일|의| 수도|는,129502|32077|20401|134013|16560,30893.71
10,Hoofdstad van Duitsland is, Ber,8907,0.785156," Ber| Berlin|?
| P|?

",0.785156|0.073242|0.017334|0.016357|0.007721,9,Ho|of|dst|ad| van| D|uits|land| is,47978|1055|15658|329|5242|422|11797|1933|374,27138.86
11,Tysklands huvudstad är, Berlin,19846,0.851562," Berlin| Ber| __| ___|?
",0.851562|0.035156|0.010742|0.008362|0.006104,9,T|ys|k|lands| h|uv|ud|stad| är,51|1047|74|8166|305|12058|661|46840|18593,25485.85
