layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,2.129387,0.292939,0.668543,1.452350,1.619684
1,60.754864,9.015934,41.059555,40.902855,50.554607
2,62.590614,9.236500,50.229980,42.173092,52.345806
3,69.857201,11.542947,54.653950,47.047775,63.283119
4,82.065659,15.658299,60.564724,55.147976,84.521454
5,98.889839,22.124775,67.253532,66.320992,114.488426
6,108.814545,25.660696,75.345795,72.925514,129.737289
7,117.834633,26.501886,80.176918,79.021568,134.437881
8,122.312622,26.764662,83.980209,82.049797,136.698486
9,128.602875,29.719883,90.449272,86.218483,151.125809
10,136.105423,29.482504,106.065163,91.420998,153.833176
11,144.771942,31.171165,116.375206,97.250816,156.305130
12,153.185791,31.411568,123.272827,103.025429,156.809555
13,163.590668,30.105429,131.071808,110.266991,152.686066
14,165.575546,29.903708,132.893311,111.654541,157.626022
15,167.712234,30.611032,135.816589,113.110229,162.709122
16,170.817352,30.830650,150.743668,115.311852,165.993484
17,173.518585,32.286633,162.558655,117.124512,169.514252
18,175.211182,32.271381,165.057632,118.307007,170.398270
19,174.696289,32.274559,163.580521,117.960442,168.576569
20,177.289795,33.435131,167.948776,119.702271,172.887527
21,179.758575,33.781734,175.777130,121.376366,173.615326
22,180.158005,34.182453,179.282837,121.646538,173.706131
23,181.073044,34.463585,183.813782,122.241920,175.372467
24,176.649139,33.728050,179.793533,119.249847,172.005508
25,176.285828,33.963097,182.254120,119.017639,172.653809
26,178.050140,34.330910,186.667847,120.205818,173.988907
27,181.227341,34.032604,194.661560,122.460136,175.657867
28,184.554855,35.810078,199.528397,124.619835,181.945633
29,187.198273,36.770565,206.513992,126.343231,185.578796
30,190.590683,36.734077,210.187668,128.682419,188.019608
31,192.191071,37.216221,209.452759,129.742172,193.154144
32,194.816193,39.323254,215.712219,131.362823,203.982590
33,193.238174,39.171135,228.115036,130.316879,200.832489
34,195.232971,40.548538,238.733307,131.596100,203.845642
35,194.840164,41.130894,239.985321,131.284653,202.083237
36,192.959488,41.483112,235.032013,129.934097,200.932068
37,191.157318,41.640011,245.631058,128.694290,199.471329
38,188.396744,41.668949,245.253052,126.784203,196.211380
39,187.414597,41.745506,251.699020,126.092651,194.520752
40,185.488525,41.797779,255.119949,124.773232,193.462158
41,186.004364,41.948154,269.511810,125.186226,193.805313
42,187.236710,42.087509,265.251190,126.027809,193.915619
43,189.933578,42.171467,270.619965,127.879082,196.094559
44,195.865189,44.245605,283.133026,131.860016,202.656357
45,201.288361,46.758781,303.242126,135.381378,209.796951
46,211.218643,49.504616,318.017059,142.140686,222.148666
47,222.142639,51.213009,327.806671,149.648972,235.950165
48,237.253586,54.418465,343.360138,159.839172,253.399872
49,252.612930,57.855644,364.273346,170.239502,270.758820
50,277.186646,65.837685,410.602234,186.785339,307.517975
51,295.019135,69.453392,429.582855,198.885880,319.209961
52,336.495148,74.217690,482.774109,227.008163,343.779510
53,369.889343,83.296043,528.292053,249.462021,381.213440
54,401.402527,91.061264,578.742737,270.897064,401.418152
55,434.768890,96.566780,628.646606,293.493622,435.751587
56,478.532745,104.739548,688.376587,323.017639,468.391602
57,558.176514,107.405785,773.664795,377.006592,520.640991
58,612.751526,111.662292,841.555969,414.118286,555.609497
59,693.244141,118.596420,905.701538,468.447052,618.262634
60,837.363892,123.117729,1013.347595,565.558167,718.743408
61,999.458069,133.944107,1132.729126,674.929016,850.240723
62,1225.994995,144.491791,1341.618530,828.173157,989.014343
63,1575.727661,182.231552,1889.402588,1066.159912,1251.941040
64,203.740646,51.851002,110.801376,137.215958,218.801086
